,Unnamed: 0,level_0,index,ID,Brightness,Colorfulness,Entropy,UniqueColors,Keypoints,Color1R,Color1G,Color1B,Color2R,Color2G,Color2B,Image URL,Title,Author,Sales Rank,Date,Review Score
6760,6760,6760,7578,0152019650,0.41248074,40.30981143510533,7.2419834,52318,0.020064676616915415,48,88,112,60,42,35,http://ecx.images-amazon.com/images/I/518FgUPwauL.jpg,I Want to Be a Veterinarian,Stephanie Maze,14532.0,"March 15, 1999",4.68
5589,5589,5589,6271,0778797112,0.4225422,74.35351473306847,7.453512700000001,89075,0.029111934766493694,75,81,143,144,91,52,http://ecx.images-amazon.com/images/I/51V64H2PF0L.jpg,"Australia (Lands, Peoples, & Cultures)",Erinn Banting,7382928.0,"November 1, 2002",0.0
9586,9586,9586,10741,0152024808,0.4045295,52.21779295775604,7.51162,73000,0.016907161803713527,61,34,29,60,125,154,http://ecx.images-amazon.com/images/I/513NwIdFCML.jpg,Scarecrow,Cynthia Rylant,51535.0,"April 1, 2001",4.28
6220,6220,6220,6969,0375860118,0.32613483,52.976525878317716,7.2968245,77185,0.028105882352941168,26,23,15,115,100,50,http://ecx.images-amazon.com/images/I/511VgpcJlhL.jpg,Magic Tree House Fact Tracker #23: Snakes and Other Reptiles: A Nonfiction Companion to Magic Tree House #45: A Crazy Day with Cobras,Mary Pope Osborne,314380.0,"January 11, 2011",4.66
39,39,39,46,1882658361,0.7037503,61.29261770922059,7.240442,104149,0.038928,246,239,221,124,88,64,http://ecx.images-amazon.com/images/I/61ZJq84pn6L.jpg,Spaghetti & Meatballs: Growing Up Italian (Mom's Choice Award Recipient),Diana Pishner Walker,654474.0,"August 3, 2015",5.0
6086,6086,6086,6820,160433438X,0.57376295,46.4700763210289,7.466862,63697,0.03212295081967213,192,159,126,125,85,71,http://ecx.images-amazon.com/images/I/61lorbmuVrL.jpg,Night Before Christmas board book: The Classic Edition,Clement Clarke Moore,4483.0,"October 15, 2013",4.33
10818,10818,10819,12124,1448849462,0.46294078,55.14133885033555,7.8832517000000015,101153,0.02491025641025641,42,34,15,210,225,242,http://ecx.images-amazon.com/images/I/616o2vzqdEL.jpg,Tractors (Farm Machines),Connor Dayton,5170824.0,"August 15, 2011",4.0
8458,8458,8458,9469,1616060212,0.63199085,65.3444554942191,7.212806,66573,0.015233830845771144,170,221,234,146,212,221,http://ecx.images-amazon.com/images/I/51d-82ViSDL.jpg,The Story of Angulimala: Buddhism for Children Level 1,Geshe Kelsang Gyatso,979323.0,"July 31, 2013",5.0
7468,7468,7468,8385,0940666103,0.30208862,27.182897074655408,7.137957000000001,44016,0.03002832861189802,26,36,49,78,88,103,http://ecx.images-amazon.com/images/I/51TEHSW8A1L.jpg,Old Father Story Teller,Pablita Velarde,673809.0,"March 1, 1990",4.8
6565,6565,6565,7355,0486423816,0.6948236999999999,61.4732691996941,7.053657,82052,0.038563829787234036,225,240,228,239,241,215,http://ecx.images-amazon.com/images/I/61Sr2gJoLzL.jpg,Exotic Butterflies and Moths (Dover Nature Coloring Book),Ruth Soffer,227299.0,"December 20, 2002",4.38
10377,10377,10378,11628,0762442875,0.6535356,57.850690259501384,6.1604533,45595,0.045581920903954805,243,147,163,223,133,148,http://ecx.images-amazon.com/images/I/51cN%2BhNMG3L.jpg,Girls' World of Doodles: Over 100 Pictures to Complete and Create,Nellie Ryan,120900.0,"September 6, 2011",4.66
1160,1160,1160,1293,1934968021,0.6625073,77.86502491332847,6.65601,52025,0.017394285714285713,247,245,242,120,90,66,http://ecx.images-amazon.com/images/I/51iQQPM17PL.jpg,My First Book of Drawing (Kumon Workbooks),Kumon,44501.0,"June 10, 2009",4.83
3062,3062,3062,3419,0736869077,0.50582486,118.14573693241985,7.085961,58912,0.02192964824120603,224,119,13,147,104,60,http://ecx.images-amazon.com/images/I/51M-HFu0PTL.jpg,Street Sweepers (Mighty Machines),Terri DeGezelle,1472012.0,"January 1, 2006",4.78
10510,10510,10511,11772,0867131586,0.65122116,50.49323802029113,7.4992323,117235,0.04380320366132723,248,236,182,114,100,66,http://ecx.images-amazon.com/images/I/61yE68ZB9YL.jpg,Classic Bedtime Stories,Scott Gustafson,763275.0,"September 23, 2014",4.06
10021,10021,10022,11222,0823423832,0.63946754,74.71153665358034,6.937289999999999,81371,0.0246810551558753,175,219,238,214,131,64,http://ecx.images-amazon.com/images/I/51x5Mv67XGL.jpg,A Picture Book of Cesar Chavez (Picture Book Biography),David A. Adler,390114.0,"June 1, 2011",4.76
5099,5099,5099,5724,1554076218,0.46975565,107.69041219586786,7.615399000000001,101038,0.02325991189427313,250,241,234,48,27,34,http://ecx.images-amazon.com/images/I/617Y2PDH0GL.jpg,Fire Trucks and Rescue Vehicles (Mighty Machines),Jean Coppendale,60823.0,"January 28, 2010",4.44
11040,11040,11041,12378,0440417406,0.7388646,27.97307745814907,7.3084,51450,0.0259498861047836,232,233,238,237,223,203,http://ecx.images-amazon.com/images/I/51RClistbrL.jpg,Emily,Michael Bedard,81061.0,"October 8, 2002",4.81
5821,5821,5821,6526,0736925457,0.6818320999999999,62.13306115389823,7.504536,124078,0.0227,246,237,200,152,80,57,http://ecx.images-amazon.com/images/I/61qEPAAFZ2L.jpg,The Ten Commandments for Little Ones,Allia Zobel Nolan,723354.0,"January 1, 2009",4.75
8916,8916,8916,9995,044046126X,0.7382804000000001,34.89465074961231,6.95463,52246,0.02634117647058824,237,213,194,201,217,224,http://ecx.images-amazon.com/images/I/510MkY4x32L.jpg,Nate the Great,Marjorie Weinman Sharmat,1865.0,"April 15, 1977",4.64
7931,7931,7931,8894,054781853X,0.7993683000000001,155.75045867417498,4.0321107000000005,55275,0.015132,253,241,0,248,238,35,http://ecx.images-amazon.com/images/I/519nr98-wOL.jpg,Curious George Saves His Pennies,H. A. Rey,12500.0,"January 7, 2014",4.7
6795,6795,6795,7616,0823085708,0.70659703,49.771685061708034,3.866742,23276,0.018383631713554987,228,176,145,240,204,184,http://ecx.images-amazon.com/images/I/51ft5o2H21L.jpg,"Draw 50 Airplanes, Aircraft, and Spacecraft: The Step-by-Step Way to Draw World War II Fighter Planes, Modern Jets, Space Capsules, and Much More...",Lee J. Ames,33348.0,"May 8, 2012",4.57
11806,11806,11807,13243,0545675073,0.49056488,75.92129877272224,7.741501299999999,68181,0.016972972972972972,55,37,25,217,224,237,http://ecx.images-amazon.com/images/I/51vFmqDpxXL.jpg,Zendaya,Emily Klein,592857.0,"January 7, 2014",5.0
1774,1774,1774,1975,030793151X,0.5729475,25.33752115040288,7.6553315999999985,43890,0.048662721893491134,172,164,143,110,102,79,http://ecx.images-amazon.com/images/I/51wUzh9M6JL.jpg,Paperboy,Vince Vawter,14190.0,"December 23, 2014",4.52
4300,4300,4300,4817,1580130623,0.7652302,61.868079806830615,5.2358804,54709,0.013085271317829458,253,252,251,182,80,106,http://ecx.images-amazon.com/images/I/51EWKSmsqNL.jpg,Sammy Spider's First Purim,illustrated by Katherine Janus Kahn Sylvia Rouss,270232.0,"January 1, 2000",4.45
9304,9304,9304,10430,1423147774,0.66222644,58.61638376932826,6.6804074999999985,81684,0.01932994923857868,252,250,248,142,86,60,http://ecx.images-amazon.com/images/I/51x-a-Q5N-L.jpg,Meet the Cars (Disney Pixar Cars),Disney Book Group,135835.0,"October 18, 2011",4.76
9177,9177,9177,10289,0061235903,0.7171691,91.4266640577655,7.058421000000001,59980,0.022810679611650484,226,233,229,227,229,232,http://ecx.images-amazon.com/images/I/51X0jtgvjZL.jpg,Splendiferous Christmas (Fancy Nancy),Jane O'Connor,2392.0,"August 23, 2011",4.88
633,633,633,705,0778701077,0.47726482,74.32370436878475,7.167792,93738,0.029237202595529917,71,151,209,215,141,109,http://ecx.images-amazon.com/images/I/516QJ8G31XL.jpg,Who Settled the West? (Life in the Old West),Bobbie Kamman,482038.0,"March 1, 1999",1.0
11076,11076,11077,12416,054775731X,0.5724255,110.60981361173036,5.6105220000000005,62055,0.014711711711711713,5,118,186,214,216,220,http://ecx.images-amazon.com/images/I/51dKfdIyhRL.jpg,"Happy Hanukkah, Curious George tabbed board book",H. A. Rey,1711.0,"September 18, 2012",4.6
4920,4920,4920,5521,0531280284,0.4765873,100.81958547642591,6.9006796,116819,0.025561085972850683,13,136,198,217,142,97,http://ecx.images-amazon.com/images/I/61pJweHe2UL.jpg,You Wouldn't Want to Be a Roman Gladiator!: Gory Things You'd Rather Not Know,John Malam,73247.0,"September 1, 2012",4.86
5223,5223,5223,5865,1433957442,0.5392409,121.35408072074136,7.2534375,136225,0.027245436105476674,252,240,0,116,102,47,http://ecx.images-amazon.com/images/I/619oPDZvQsL.jpg,Deadly Poison Dart Frogs (Small But Deadly),Lincoln James,552378.0,"August 1, 2011",3.0
9881,9881,9881,11068,1439526613,0.4005383,76.03480575813086,6.8139324000000006,24818,0.00625249169435216,155,30,17,224,129,135,http://ecx.images-amazon.com/images/I/419wgYj4RJL.jpg,In My Hands: Memories of a Holocaust Rescuer,Irene Gut Opdyke,3277024.0,"August 11, 2008",4.85
2441,2441,2441,2716,0822587483,0.41845855,65.13598273145023,7.038438,87297,0.016161520190023752,61,54,120,116,92,69,http://ecx.images-amazon.com/images/I/511kY7GRKcL.jpg,Lance Armstrong (Amazing Athletes),Sandy Donovan,8346050.0,"October 1, 2007",0.0
2210,2210,2210,2455,1432961292,0.31015447,29.712597268602465,7.5812755,19558,0.0643879173290938,100,103,71,31,31,17,http://ecx.images-amazon.com/images/I/31ow3dVfL7L.jpg,Liberia (Countries Around the World),Robin S. Doak,2971208.0,"February 1, 2012",0.0
7681,7681,7681,8614,0543912124,0.8451781999999999,107.92765859279169,6.3001312999999985,37512,0.00429559748427673,252,236,182,251,219,76,http://ecx.images-amazon.com/images/I/41MY3Y01S0L.jpg,Petite princesse (French Edition),Henry Gr̩ville,14686344.0,"October 5, 2001",0.0
11458,11458,11459,12851,0060276096,0.37844303,59.82093068348097,5.8304987,52245,0.01528345284805845,97,92,138,232,133,121,http://ecx.images-amazon.com/images/I/519FR45RDEL.jpg,"The Greatest Gymnast of All: Opposites, Level 1 (Mathstart)",Stuart J. Murphy,11784036.0,"September 1, 1998",4.69
7831,7831,7831,8783,0531254208,0.49536097,114.73166546785284,7.285411,64088,0.029838709677419355,101,93,74,42,38,29,http://ecx.images-amazon.com/images/I/51oItU7SMlL.jpg,The Haitian Earthquake of 2010 (True Books: Disasters),Peter Benoit,3953254.0,"September 1, 2011",0.0
8482,8482,8482,9495,0545132061,0.7175925999999999,84.73465217846315,3.0360198,23091,0.007430232558139535,133,206,189,252,241,65,http://ecx.images-amazon.com/images/I/41o6GHwrnQL.jpg,Smile,Raina Telgemeier,849.0,"February 1, 2010",4.77
4253,4253,4253,4761,1481449907,0.7281164999999999,82.54678355228366,6.753291,72562,0.03238271604938272,205,216,81,252,250,237,http://ecx.images-amazon.com/images/I/51hAj9er8HL.jpg,Ken Jennings' Junior Genius Guides Collection: Maps and Geography; Greek Mythology; U.S. Presidents,Ken Jennings,130622.0,"October 6, 2015",2.8
7792,7792,7792,8741,1570918805,0.43840775,31.63458057848197,7.4713397,49415,0.01946529562982005,60,88,120,154,174,187,http://ecx.images-amazon.com/images/I/51grRnce9VL.jpg,"Galileo's Journal, 1609 - 1610",Jeanne Pettenati,1083423.0,"June 1, 2006",5.0
8163,8163,8163,9147,1426313527,0.50144005,109.16699043000324,7.1888156,64125,0.0342874251497006,252,215,23,82,102,116,http://ecx.images-amazon.com/images/I/51X2uBsxzeL.jpg,National Geographic Readers: Anne Frank (Readers Bios),Alexandra Zapruder,111422.0,"August 6, 2013",4.61
6732,6732,6732,7545,1584690119,0.41162515,55.45600092496849,7.1665015,61419,0.03821739130434783,76,93,81,105,153,219,http://ecx.images-amazon.com/images/I/51W0xvB6DmL.jpg,Girls Who Looked Under Rocks: The Lives of Six Pioneering Naturalists,Jeannine Atkins,47660.0,"September 1, 2000",4.63
8119,8119,8119,9100,0312369816,0.4145971,33.282986033309676,6.5596585,33068,0.013628318584070796,107,96,75,70,87,76,http://ecx.images-amazon.com/images/I/51pjcLaWOSL.jpg,Tuck Everlasting,Natalie Babbit,4840.0,"August 21, 2007",4.25
9173,9173,9173,10285,1584302836,0.5122416,86.48401004088127,6.759399,69437,0.011104166666666668,167,70,48,117,164,97,http://ecx.images-amazon.com/images/I/512xmKtOLWL.jpg,Love to Langston,Tony Medina,1075687.0,"August 30, 2006",5.0
3694,3694,3694,4139,0764165089,0.72318184,76.6607759047855,6.744286,76922,0.013018947368421052,217,112,168,125,185,197,http://ecx.images-amazon.com/images/I/51RUERuNBPL.jpg,Sophie's Ballet Show: A Sparkly Pop-up Extravaganza!,Rosalinda Kightley,627184.0,"March 1, 2012",4.67
6870,6870,6870,7700,0316015474,0.6935374,73.73633105346829,6.718102,49926,0.022896907216494844,211,234,244,66,179,221,http://ecx.images-amazon.com/images/I/51XmE9U9DML.jpg,The Curious Garden,Peter Brown,28242.0,"April 1, 2009",4.74
9366,9366,9366,10497,0698115805,0.7949823,55.37415271971109,5.53386,57581,0.02191836734693877,252,249,245,233,245,234,http://ecx.images-amazon.com/images/I/51VUxtXCQsL.jpg,"Where Do You Think You're Going, Christopher Columbus?",Jean Fritz,522405.0,"September 22, 1997",4.06
517,517,517,574,0448462893,0.61012703,44.19598088674993,7.432507000000001,67150,0.03516091954022989,189,160,117,115,94,72,http://ecx.images-amazon.com/images/I/512TEWV3CAL.jpg,What Was the Gold Rush?,Joan Holub,25119.0,"February 7, 2013",4.7
4458,4458,4458,5004,1410914879,0.5025529000000001,23.7657446652949,7.380706299999999,11704,0.0505050505050505,102,103,80,158,159,135,http://ecx.images-amazon.com/images/I/31KWVKRX3NL.jpg,Great Teams in College Football History,Luke DeCock,10986748.0,"December 13, 2005",0.0
4326,4326,4326,4849,1250065003,0.81292576,61.705759189359284,6.0697584,42765,0.01153170731707317,196,229,240,228,245,240,http://ecx.images-amazon.com/images/I/513rDxOZ6KL.jpg,Hello Ruby: Adventures in Coding,Linda Liukas,24965.0,"October 6, 2015",3.98
8610,8610,8610,9647,1600608981,0.5677563,85.50731097853543,5.1006827,66422,0.02010628019323672,225,150,64,159,98,51,http://ecx.images-amazon.com/images/I/514Inxz59VL.jpg,Little Melba and Her Big Trombone,Katheryn Russell-Brown,97849.0,"August 4, 2014",4.9
2885,2885,2885,3222,1596439165,0.4014254,68.62809560590625,7.134235,85085,0.027085872576177287,124,163,204,14,4,1,http://ecx.images-amazon.com/images/I/51sXiFJ6fwL.jpg,The Stratford Zoo Midnight Revue Presents Romeo and Juliet,Ian Lendler,816199.0,"September 29, 2015",4.6
6310,6310,6310,7070,0822548909,0.50540066,43.64581792918601,7.5544524000000015,48506,0.0204695652173913,104,81,66,212,162,125,http://ecx.images-amazon.com/images/I/51FF5URaqUL.jpg,Rediscovering Easter Island: How History Is Invented,Kathy Pelta,6140363.0,"February 1, 2001",3.0
5926,5926,5926,6645,1429648775,0.42305744,61.68279019897459,7.722131299999999,64628,0.030847133757961782,121,89,63,53,46,32,http://ecx.images-amazon.com/images/I/519fuhDxmAL.jpg,Skateboarding: How It Works (The Science of Sports (Sports Illustrated for Kids)),Emily Sohn,707425.0,"April 1, 2010",4.71
6643,6643,6643,7444,0792261399,0.37329853,23.014083552702733,6.746844,34199,0.016968911917098446,84,102,110,98,88,73,http://ecx.images-amazon.com/images/I/51YYTMPXNHL.jpg,1621: A New Look at Thanksgiving (I Am American),Catherine O'Neill Grace,41345.0,"October 1, 2004",4.15
6641,6641,6641,7441,1896764975,0.6233303000000001,38.45970837808829,7.643382499999999,46569,0.016323119777158775,192,153,129,111,86,76,http://ecx.images-amazon.com/images/I/51m2Nw6WDQL.jpg,The Righteous Smuggler (Holocaust Remembrance Series),Debbie Spring,3271268.0,"January 1, 2006",5.0
8231,8231,8231,9219,1770920404,0.45937845,56.527037993240995,7.4077907,68418,0.014477157360406091,141,75,60,174,159,127,http://ecx.images-amazon.com/images/I/51b-qsCeROL.jpg,Track and Field (Olympic Sports (Saunders)),Clive Gifford,9811851.0,"January 1, 2012",0.0
3267,3267,3267,3657,0486499170,0.7014226,109.30402152644207,7.1115437,78437,0.032384,247,214,229,59,185,220,http://ecx.images-amazon.com/images/I/511CV6UKnrL.jpg,Princess Coloring Book (Dover Coloring Books),Eileen Rudisill Miller,44043.0,"May 17, 2012",4.43
8780,8780,8780,9838,0822585758,0.6807829000000001,45.99405940413142,7.4220552,60393,0.01773293768545994,225,229,242,137,152,194,http://ecx.images-amazon.com/images/I/515Gu8w%2Bo%2BL.jpg,Malawi in Pictures (Visual Geography. Second Series),Sarah De Capua,633065.0,"February 1, 2009",0.0
3359,3359,3359,3758,0756693047,0.5978117,34.555002211450926,7.501052400000002,83920,0.03431007751937985,248,247,243,74,108,86,http://ecx.images-amazon.com/images/I/51J%2BnsNqZRL.jpg,DK Eyewitness Books: Reptile,Colin McCarthy,644193.0,"June 18, 2012",4.81
5542,5542,5542,6216,0938256939,0.66718173,111.5443371603158,5.6781445,51698,0.009969969969969971,254,253,252,230,33,55,http://ecx.images-amazon.com/images/I/514Wun8hvnL.jpg,Multiplication 0-12 Flash Cards,School Zone Publishing Company Staff,2814.0,"May 15, 2015",4.03
9714,9714,9714,10876,0807535443,0.58001673,81.22210954480863,7.343395,85847,0.017695331695331697,246,219,102,58,44,33,http://ecx.images-amazon.com/images/I/51kWWdP5OUL.jpg,If I Ran For President,Catherine Stier,63206.0,"April 1, 2008",4.78
8938,8938,8938,10020,1596439319,0.8076264,32.10329613985824,6.3407526,59065,0.033842751842751845,250,244,237,202,156,141,http://ecx.images-amazon.com/images/I/614BXKtdDPL.jpg,Special Delivery,Philip C. Stead,825997.0,"March 3, 2015",4.45
5634,5634,5634,6321,0670872903,0.32102177,126.07100755331473,6.25813,50696,0.01564852301694407,178,2,0,185,1,4,http://ecx.images-amazon.com/images/I/510MA935MRL.jpg,The Fairy Tales of the Brothers Grimm,Jacob Grimm,4787251.0,"September 1, 1997",4.55
8696,8696,8696,9743,1404276149,0.4895930000000001,93.28190028045135,7.4573917,95423,0.016785425101214575,132,179,40,104,174,46,http://ecx.images-amazon.com/images/I/61R8vk8cgqL.jpg,Street Bikes/ Motos de calle (Motorcycles: Made for Speed / Motocicletas a Toda Velocidad),Connor Dayton,5237341.0,"January 1, 2007",0.0
10302,10302,10303,11543,1617830089,0.3618213,37.44117747172511,7.006945,39491,0.01314792899408284,178,159,142,56,57,85,http://ecx.images-amazon.com/images/I/41oPMnDYICL.jpg,Mark Zuckerberg: Facebook Creator (Essential Lives),Marcia Amidon Lusted,4342194.0,"August 1, 2011",0.0
4106,4106,4106,4597,0753456230,0.46328396,32.65002886784586,7.1725326,74455,0.025004950495049503,84,81,122,142,142,187,http://ecx.images-amazon.com/images/I/51JnEHaRf5L.jpg,Mummies (Kingfisher Knowledge),John Malam,3566046.0,"October 24, 2003",4.0
6953,6953,6953,7790,1476536066,0.50045043,41.394639781670925,6.7770275999999985,33909,0.012152974504249292,34,30,2,224,229,213,http://ecx.images-amazon.com/images/I/51vWL2FUwUL.jpg,Ellis Island: An Interactive History Adventure (You Choose: History),Michael Burgan,97235.0,"August 1, 2013",4.72
6057,6057,6057,6788,158947421X,0.5866340999999999,88.27964867854033,7.4167175,91979,0.0241981981981982,131,80,196,196,230,247,http://ecx.images-amazon.com/images/I/51tcjHHPgjL.jpg,Big Preschool Activity Workbook Ages 4 & Up,Multiple Authors,14738.0,"January 1, 2014",4.2
2458,2458,2458,2734,0823406539,0.5469252,58.225080798844644,7.609845599999999,116230,0.045972789115646256,136,92,51,249,241,222,http://ecx.images-amazon.com/images/I/61ifCMgB80L.jpg,Little Red Riding Hood,Trina Schart Hyman,49752.0,"January 1, 1983",4.46
1314,1314,1314,1461,1400323940,0.5831116,123.67668446842217,6.0175323,80150,0.02018357487922705,30,180,234,19,178,222,http://ecx.images-amazon.com/images/I/51RXtRhwFTL.jpg,God and Me,Thomas Nelson,381830.0,"December 30, 2013",4.88
9962,9962,9963,11158,1452127093,0.6375145000000001,87.60295430568131,6.3807480000000005,67151,0.020723514211886302,241,210,84,198,97,74,http://ecx.images-amazon.com/images/I/51P9MUy1BKL.jpg,Extraordinary People: A Semi-Comprehensive Guide to Some of the World's Most Fascinating Individuals,Michael Hearst,142042.0,"May 12, 2015",4.35
8748,8748,8748,9805,146774493X,0.5312044,82.85236259493416,6.2866800000000005,63818,0.013160839160839159,205,145,61,35,40,51,http://ecx.images-amazon.com/images/I/51TucC9ZStL.jpg,J. J. Watt (Amazing Athletes),Jon M. Fishman,94385.0,"September 1, 2014",4.2
11140,11140,11141,12494,1608182118,0.7070880999999999,41.421371723112564,6.9672410000000005,49300,0.01149056603773585,207,217,227,153,175,193,http://ecx.images-amazon.com/images/I/5175V9RrOsL.jpg,Swimming (Summer Olympic Legends),Nate LeBoutillier,3687485.0,"January 1, 2012",0.0
1704,1704,1704,1895,0061123250,0.72831434,33.88237403218905,5.6980333,21116,0.005767535070140282,230,206,164,221,195,152,http://ecx.images-amazon.com/images/I/51iTGYFibIL.jpg,Not a Stick,Antoinette Portis,38704.0,"December 26, 2007",4.78
3186,3186,3186,3564,0746001673,0.5440765999999999,67.75994790342399,7.170295200000001,58864,0.018865671641791044,121,170,216,69,95,154,http://ecx.images-amazon.com/images/I/51CC26FA6WL.jpg,Improve Your Soccer Skills (Superskills Series),Paula Woods,4186650.0,"June 1, 1987",0.0
5395,5395,5395,6051,0152062947,0.6592986,68.276651335505,6.6969647,112187,0.03576209677419355,251,249,242,138,88,51,http://ecx.images-amazon.com/images/I/61l%2BioBfcbL.jpg,Wild About Us!,Karen Beaumont,63554.0,"April 7, 2015",5.0
