ID,Title,Author
1423146735,The Blood of Olympus (The Heroes of Olympus),Rick Riordan
0375813616,Junie B. Jones's First Boxed Set Ever! (Books 1-4),Barbara Park
0307976971,"Good Night, Thomas (Thomas & Friends) (Glow-in-the-Dark Board Book)",Rev. W. Awdry
0152802177,Stellaluna,Janell Cannon
0375843221,Thomas and Friends: My Red Railway Book Box (Thomas & Friends) (Bright & Early Board Books(TM)),Rev. W. Awdry
1484720733,The Heroes of Olympus Paperback 3-Book Boxed Set,Rick Riordan
1484726146,Descendants: Junior Novel,Rico Green
0545522285,"The Copper Gauntlet (Magisterium, Book 2)",Holly Black
0807508543,The Boxcar Children Books 1-4,
0545820111,Minecraft: Blockopedia,Alex Wiltshire
0142402494,Pippi Longstocking (Puffin Modern Classics),Astrid Lindgren
0807508551,"The Boxcar Children Bookshelf (The Boxcar Children Mysteries, Books 1-12)",
0547328613,Island of the Blue Dolphins,Scott O'Dell
0439417848,The New Captain Underpants Collection (Books 1-5),Dav Pilkey
0553508849,The Itty-Bitty Kitty Rescue (Paw Patrol) (Little Golden Book),Golden Books
0545658489,"I Survived the Joplin Tornado, 2011 (I Survived #12)",Lauren Tarshis
0689823223,"Boynton's Greatest Hits: Volume 1/Blue Hat, Green Hat; A to Z; Moo, Baa, La La La!; Doggies (Boynton Board Books)",Sandra Boynton
0786838655,"The Lightning Thief (Percy Jackson and the Olympians, Book 1)",Rick Riordan
0689815816,We're Going on a Bear Hunt (Classic Board Books),Helen Oxenbury
0062367153,Warriors: The New Prophecy Box Set: Volumes 1 to 6: The Complete Second Series,Erin Hunter
0920236162,The Paper Bag Princess (Classic Munsch),Robert Munsch
1423146778,"The House of Hades (Heroes of Olympus, The, Book Four) (The Heroes of Olympus)",Rick Riordan
0810970686,Diary of a Wimpy Kid: The Last Straw (Book 3),Jeff Kinney
0394820371,The Phantom Tollbooth,Norton Juster
0307931471,Escape from Mr. Lemoncello's Library,Chris Grabenstein
0525457232,The Complete Tales of Winnie-the-Pooh,A. A. Milne
0811864952,Ivy & Bean's Secret Treasure Box (Books 1-3),Annie Barrows
0142410373,Matilda,Roald Dahl
0763662291,Sam and Dave Dig a Hole (Irma S and James H Black Award for Excellence in Children's Literature (Awards)),Mac Barnett
0375852085,Super Friends: Flying High (DC Super Friends) (Step into Reading),Random House
0142410314,Charlie and the Chocolate Factory,Roald Dahl
1442493348,Island of Graves (The Unwanteds),Lisa McMann
0698116232,The Knight and the Dragon (Paperstar Book),Tomie dePaola
054403256X,Stick and Stone,Beth Ferry
1423106865,There Is a Bird On Your Head! (An Elephant and Piggie Book),Mo Willems
0316201561,The Wishing Spell (The Land of Stories),Chris Colfer
1484724968,Journey to Star Wars: The Force Awakens The Weapon of a Jedi: A Luke Skywalker Adventure,Jason Fry
0763660531,Journey,Aaron Becker
1484720725,The Heroes of Olympus Hardcover Boxed Set,Rick Riordan
1423153987,These are The Avengers Level 1 Reader (World of Reading),Disney Book Group
0448464950,The Hardy Boys Starter Set (5 Volume Set),Franklin W. Dixon
0545919665,"Harry Potter and the Sorcerer's Stone: The Illustrated Edition, Collector's Edition (Harry Potter, Book 1)",J. K. Rowling
0316365157,How to Train Your Dragon: How to Fight a Dragon's Fury,Cressida Cowell
0545829070,The Phoenix of Destiny: An Epic Kingdom of Fantasy Adventure (Geronimo Stilton and the Kingdom of Fantasy: Special Edition),Geronimo Stilton
0316038636,Where the Mountain Meets the Moon,Grace Lin
0375846611,"Magic Tree House Boxed Set, Books 13-16: Vacation Under the Volcano, Day of the Dragon King, Viking Ships at Sunrise, and Hour of the Olympics",Mary Pope Osborne
0553510819,Magic Tree House #53: Shadow of the Shark (A Stepping Stone Book(TM)),Mary Pope Osborne
1423199626,The Kane Chronicles Box Set,Rick Riordan
0763676713,Flora and Ulysses: The Illuminated Adventures,Kate DiCamillo
0618346872,Curious George and the Birthday Surprise,H. A. Rey
0553524569,Mighty Monster Machines (Blaze and the Monster Machines) (Little Golden Book),Golden Books
148472495X,Journey to Star Wars: The Force Awakens Smuggler's Run: A Han Solo Adventure (Star Wars: Journey to Star Wars: the Force Awakens),Greg Rucka
161893158X,Disney Descendants Yearbook,Disney
0545658462,"I Survived #11: I Survived the Great Chicago Fire, 1871",Lauren Tarshis
0375822658,Junie B. Jones's Second Boxed Set Ever! (Books 5-8),Barbara Park
0753453053,Roaring Rockets (Amazing Machines),Tony Mitton
0142405809,The Snail and the Whale,Julia Donaldson
031637086X,Treasure Hunters: Danger Down the Nile,James Patterson
0142410381,The BFG,Roald Dahl
0679824111,"Dinosaurs Before Dark (Magic Tree House, No. 1)",Mary Pope Osborne
1554537045,The Most Magnificent Thing,Ashley Spires
1465414053,Ultimate Sticker Book: Frozen (Ultimate Sticker Books),DK Publishing
0811826023,Peek-A Who?,Nina Laden
1481406264,The Power of Henry's Imagination (The Secret),Skye Byrne
1465437886,LEGO Awesome Ideas,Daniel Lipkowitz
045146978X,Llama Llama Trick or Treat,Anna Dewdney
0307010856,The Monster at the End of This Book,Jon Stone
0843183535,Diary of a Wimpy Kid Mad Libs,Price Stern Sloan
0312499221,Wipe Clean: Early Learning Activity Book (Wipe Clean Early Learning Activity Books),Roger Priddy
0316283045,"The Very Fairy Princess: A Spooky, Sparkly Halloween",Julie Andrews
0547718985,The Goodnight Train,June Sobel
0736431217,Journey to the Ice Palace (Disney Frozen) (Jumbo Coloring Book),RH Disney
0887431453,Big Preschool Workbook,School Zone Staff
0062187708,Pinkalicious: Pink or Treat!,Victoria Kann
0544416864,The Whisper,Pamela Zagarenski
1450859445,Look and FindÂ® DisneyÂ® Frozen,
1452137358,Mix It Up!,Herve Tullet
0979974623,I Need My Monster,Amanda Noll
0982993803,Your Fantastic Elastic Brain,JoAnn Deak Ph.D.
0525428879,Robo-Sauce,Adam Rubin
1405277335,Star Wars Where's the Wookiee Search and Find Book,
0064430227,Harold and the Purple Crayon (Purple Crayon Books),Crockett Johnson
1450805752,Eric Carle: Around the Farm: Play-a-Sound,
1601591160,Preschool Practice Scissor Skills (Ages 3-5),Joan Hoffman
1481404296,"Happy Halloween, Daniel Tiger!: A Lift-the-Flap Book (Daniel Tiger's Neighborhood)",Angela C. Santomero
1405925132,The Magical Christmas: A Colouring Book,Lizzie Mary Cullen
039917687X,The Nonsense Show,Eric Carle
0545850312,Game On! 2016: All the Best Games: Awesome Facts and Coolest Secrets,Scholastic
0887434959,Preschool Scholar: Ages 3-5,Joan Hoffman
0763645257,Where's Waldo?: Deluxe Edition,Martin Handford
0312508700,Wipe Clean Workbook Tracing and Pen Control (Wipe Clean Workbooks),Roger Priddy
0486286541,Floral Bouquets Coloring Book (Dover Nature Coloring Book),Charlene Tarbox
0439434408,How to Draw Pokemon,Tracey West
0887431461,Big Kindergarten Workbook,School Zone Publishing Company Staff
0736434399,Frozen Fever: Anna's Birthday Surprise (Disney Frozen) (Pictureback(R)),Jessica Julius
0312504837,Sticker Activity ABC (Sticker Activity Fun),Roger Priddy
1452131562,Leo: A Ghost Story,Mac Barnett
0545561639,Klutz Nail Style Studio Book Kit,Eva Steele-Saccio
0545823250,Minecraft: Construction Handbook (Updated Edition): An Official Mojang Book,Matthew Needler
1423605292,Doodle Diary: Art Journaling for Girls,Dawn DeVries Sokol
0140501827,The Snowy Day,Ezra Jack Keats
0486480283,Goddesses Coloring Book (Dover Coloring Books),
1452126992,I Wish You More,Amy Krouse Rosenthal
1499802250,Shopkins Seek and Find,little bee books
1589474783,Numbers 0-25 Flash Cards,School Zone Publishing Company Staff
031612656X,Crankenstein,Samantha Berger
0312492510,Wipe Clean: Letters (Wipe Clean Learning Books),Roger Priddy
0486444651,Wonderful World of Horses Coloring Book (Dover Nature Coloring Book),John Green
0312513178,Preschool Color & Activity Book,Roger Priddy
1570548307,Klutz The Klutz Book of Paper Airplanes Craft Kit,
0486481794,HalloweenScapes (Dover Holiday Coloring Book),Jessica Mazurkiewicz
0316376574,"If You Ever Want to Bring an Alligator to School, Don't!",Elise Parsley
1481446606,"Merry Christmas, Daniel Tiger!: A Lift-the-Flap Book (Daniel Tiger's Neighborhood)",Angela C. Santomero
0547641028,Sleep Like a Tiger (Caldecott Medal - Honors Winning Title(s)),Mary Logue
0062304429,Pete the Cat's Big Doodle & Draw Book,James Dean
0736423990,Dreams Come True Forever (Disney Princess) (Jumbo Coloring Book),RH Disney
0670016489,Llama Llama's Little Library,Anna Dewdney
1250065003,Hello Ruby: Adventures in Coding,Linda Liukas
0062364278,Beyond the Pond,Joseph Kuefler
0843126981,Best of Mad Libs,Roger Price
1449428657,Today I'll Be a Princess,Paula Croyle
0486426440,A Walk in the Woods (Dover Nature Coloring Book),Dot Barlowe
0590481371,I Spy Spooky Night: A Book of Picture Riddles,Jean Marzollo
0545836026,Shopkins: The Ultimate Collector's Guide,Jenne Simon
0312499094,Slide and Find - Trucks,Roger Priddy
0316378771,I Love to Gobble You Up!,
0399555439,Stampy's Lovely Book,Joseph Garrett
1423133102,Don't Let the Pigeon Finish This Activity Book!,Mo Willems
084312699X,Sleepover Party Mad Libs,Roger Price
1419713108,In My Heart: A Book of Feelings (Growing Hearts),Jo Witek
0843174986,Mad Libs on the Road,Roger Price
0451469801,Llama Llama Jingle Bells,Anna Dewdney
054549284X,Klutz Star Wars Thumb Doodles Book Kit,
075669812X,LEGO NINJAGO: Character Encyclopedia,DK Publishing
1593693400,Just Mom and Me (American Girl) (American Girl Library),American Girl Editors
1933241144,Let's Cut Paper! (Kumon First Steps Workbooks),
1933241241,My Book of Easy Mazes (Kumon Workbooks),Shinobu Akaishi
0545561663,Klutz Stencil Art Book Kit,
1442487712,Dork Diaries OMG!: All About Me Diary!,Rachel RenÃ©e Russell
1591744490,Window Art Deluxe Refill Set,
076110478X,Kids' Paper Airplane Book,Ken Blackburn
193324111X,Let's Color!  (Kumon First Step Workbooks),
1935800434,My Book of Amazing Tracing (Kumon Workbooks),Kumon Publishing
0761313427,It's Fall (Celebrate the Seasons!),Linda Glaser
1633220508,How to Code in 10 Easy Lessons: Learn how to design and code your very own computer game (Super Skills),Sean McManus
1933241136,Let's Sticker & Paste! (Kumon First Steps Workbooks),
160958970X,Baking with Grace: Discover the Recipe for Ooh La La! (American Girl),Trula Magruder
0764145797,Modeling Clay Animals: Easy-to-Follow Projects in Simple Steps,Bernadette Cuxart
0802774407,Look What I Did with a Leaf! (Naturecraft),Morteza E. Sohi
1250031109,"Totally Cool Creations: Three Books in One; Cool Cars and Trucks, Cool Robots, Cool City",Sean Kenney
1442435712,The Scraps Book: Notes from a Colorful Life,Lois Ehlert
0764166115,The Boy's Book of Adventure: The Little Guidebook for Smart and Resourceful Boys,Michele Lecreux
1465422994,LEGO NINJAGO: The Visual Dictionary (Masters of Spinjitzu),Hannah Dolan
0756697875,LEGO Batman: Visual Dictionary (LEGO DC Universe Super Heroes),Daniel Lipkowitz
1935800205,Let's Sticker & Paste: Amazing Animals (Kumon First Steps Workbooks),Kumon Publishing
0545459907,Klutz Window Art Craft Kit,The Editors of Klutz
1584859776,Tear Up This Book! (American Girl Library),Keri Smith
1933241128,Let's Fold! (Kumon First Steps Workbooks),
0694006386,My Book of Little House Paper Dolls: The Big Woods Collection,Laura Ingalls Wilder
1440327068,Fun Face Painting Ideas for Kids: 40 Step-by-Step Demos,Brian Wolfe
0486250571,Easy Carpentry Projects for Children (Dover Children's Activity Books),Jerome E. Leavitt
0486433269,Classic Cars of the Fifties (Dover History Coloring Book),Bruce LaFontaine
1465401725,LEGO Minifigures: Character Encyclopedia,Daniel Lipkowitz
1604381833,Pokemon Origami: Fold Your Own Pokemon!,
1892951452,DUDE Diary (Coke Or Pepsi? Universe),Mickey & Cheryl Gill
0486460673,Classic Cars Coloring Book,Bruce LaFontaine
0375823751,"Top-Secret, Personal Beeswax: A Journal by Junie B. (and Me!)",Barbara Park
159174802X,Klutz Fairies: Petal People You Make Yourself Craft Kit,
076116927X,Cabinet of Curiosities: Collecting and Understanding the Wonders of the Natural World,Gordon Grice
1584766247,COIN COLLECTING FOR KIDS,Steve Otfinoski
0873588770,All About Me: A Keepsake Journal for Kids,Linda Kranz
1507745923,Coloring Book For Minecraft Fans,Gameplay Publishing
1940787092,Disney Frozen Hairstyles: Inspired By Anna and Elsa,Theodora Mjoll Skuladottir Jack
1426319193,Why'd They Wear That?: Fashion as the Mirror of History,Sarah Albee
0448487152,Who Is (Your Name Here)?: The Story of My Life (Who Was...?),Paula K Manzanero
0545823269,Minecraft: Essential Handbook (Updated Edition): An Official Mojang Book,Stephanie Milton
1465419217,LEGO Star Wars: The Visual Dictionary: Updated and Expanded,Simon Beecroft
0486447103,How to Draw Pets (Dover How to Draw),Barbara Soloff Levy
0545823234,Minecraft: Combat Handbook (Updated Edition): An Official Mojang Book,Stephanie Milton
0761166629,"My First Brain Quest, revised 4th edition: 350 Questions and Answers to Build Your Toddlers Word Skills",Chris Welles Feder
0761184570,How to Tell a Story: 1 Book + 20 Story Blocks = A Million Adventures,Daniel Nayeri
1250047757,Bedtime Math: The Truth Comes Out (Bedtime Math Series),Laura Overdeck
1575423596,Temper Tamers In a Jar: Helping Kids Cool Off and Manage Anger,Free Spirit Publishing
1580626874,"The Everything Kids' Puzzle Book: Mazes, Word Games, Puzzles & More! Hours of Fun!",Jennifer A. Ericsson
0843107588,Super Silly Mad Libs Junior,Roger Price
1605531278,Brain Games for Kids #1 (Brain Games Kids),
0761166513,"Brain Quest Grade 1, revised 4th edition: 750 Questions and Answers to Challenge the Mind",Chris Welles Feder
0887432735,Math War Addition and Subtraction Game Cards,School Zone Publishing Company Staff
0545823242,Minecraft: Redstone Handbook (Updated Edition): An Official Mojang Book,Nick Farwell
1465435905,LEGO NINJAGO: Build Your Own Adventure,DK
0545415837,I Spy Animals,Jean Marzollo
0887432417,Division 0-12 Flash Cards,School Zone Publishing Company Staff
1580175384,"Horse Games & Puzzles for Kids: 102 Brainteasers, Word Games, Jokes & Riddles, Picture Puzzlers, Matches & Logic Tests for Horse-Loving Kids",Cindy A. Littlefield
0486418634,"American Muscle Cars, 1960-1975 (Dover History Coloring Book)",Bruce LaFontaine
1426309333,"National Geographic Kids Ultimate U.S. Road Trip Atlas: Maps, Games, Activities, and More for Hours of Backseat Fun",Crispin Boyer
0761166599,"Brain Quest Preschool, revised 4th edition: 300 Questions and Answers to Get a Smart Start",Chris Welles Feder
0486468933,How to Draw Animals (Dover How to Draw),Barbara Soloff Levy
0761166602,"Brain Quest Kindergarten, revised 4th edition: 300 Questions and Answers to Get a Smart Start",Chris Welles Feder
0486465810,Little Hidden Pictures (Dover Little Activity Books),Tony Tallarico Sr.
0986444162,Diary of a Minecraft Zombie Book 4: Zombie Swap,Herobrine Books
0761166637,"Brain Quest for Threes, revised 4th edition: 300 Questions and Answers to Get a Smart Start",Chris Welles Feder
0439708702,Can You See What I See?: On a Scary Scary Night: Picture Puzzles to Search and Solve,Walter Wick
0843115890,Halloween Mad Libs Junior,Roger Price
048625156X,The Little ABC Coloring Book (Dover Little Activity Books),Anna Pomaska
054568515X,Minecraft: Redstone Handbook: An Official Mojang Book,Scholastic
0689038623,"Baby's Box of Fun: A Karen Katz Lift-the-Flap Gift Set: Where Is Baby's Bellybutton?; Where Is Baby's Mommy?: Toes, Ears, & Nose!",Marion Dane Bauer
0545685168,Minecraft: Combat Handbook: An Official Mojang Book,Scholastic
1452108196,The World of Eric Carle(TM) The Very Hungry Caterpillar(TM) Lacing Cards,Chronicle Books
0789454726,DK Games: Silly Sentences,DK
0843120363,Spooky Mad Libs,Roger Price
0486297810,Farm Animals Coloring Book (Dover Little Activity Books),Lisa Bonforte
0843110333,The Mad Libs Worst-Case Scenario Survival Handbook: Travel,Leonard Stern
0761166521,"Brain Quest Grade 2, revised 4th edition: 1,000 Questions and Answers to Challenge the Mind",Chris Welles Feder
0544339207,Bats at the Library (A Bat Book),Brian Lies
0688088090,Anna Banana: 101 Jump Rope Rhymes,Joanna Cole
0805098518,My Life as a Gamer (The My Life series),Janet Tashjian
0761167560,"Pranklopedia: The Funniest, Grossest, Craziest, Not-Mean Pranks on the Planet!",Julie Winterbottom
0545415845,I Spy Letters,Jean Marzollo
0439042445,I Spy Treasure Hunt: A Book of Picture Riddles,Jean Marzollo
1580625584,"The Everything Kids' Mazes Book: Twist, Squirm, and Wind Your Way Through Subways, Museums, Monster Lairs, and Tombs",Beth L. Blair
0316736090,Whose Toes are Those?,Jabari Asim
0843119217,Vacation Fun Mad Libs,Roger Price
1426320701,National Geographic Kids Brain Games: The Mind-Blowing Science of Your Amazing Brain,Jennifer Swanson
1426308647,"National Geographic Kids Ultimate Weird but True: 1,000 Wild & Wacky Facts and Photos",National Geographic
142631194X,Weird but True Collector's Set (Boxed Set): 900 Outrageous Facts,National Geographic Kids
076116653X,"Brain Quest Grade 3, revised 4th edition: 1,000 Questions and Answers to Challenge the Mind",Chris Welles Feder
0843128275,Kid Libs Mad Libs,Roger Price
0486413373,How to Draw Flowers (Dover How to Draw),Barbara Soloff Levy
0486270106,Little Butterflies Stained Glass Coloring Book (Dover Stained Glass Coloring Book),John Green
0938256815,Phonics Made Easy Flash Cards,School Zone Publishing Company Staff
075661807X,Chess for Kids,Michael Basman
0439763096,I Spy: 4 Picture Riddle Books (School Reader Collection Lvl 1: (Scholastic Reader Collection),Jean Marzollo
0061992275,The One and Only Ivan,Katherine Applegate
1426308469,National Geographic Little Kids First Big Book of Dinosaurs (National Geographic Little Kids First Big Books),Catherine D. Hughes
0060245867,If You Give a Mouse a Cookie (If You Give...),Laura Joffe Numeroff
0374360979,The Pout-Pout Fish (A Pout-Pout Fish Adventure),Deborah Diesen
0374300216,If Animals Kissed Good Night,Ann Whitford Paul
0439738199,"May I Please Have a Cookie? (Scholastic Readers, Level 1)",Jennifer Morris
0316380865,The Thing About Jellyfish,Ali Benjamin
0679890475,Are You My Mother? (Bright & Early Board Books(TM)),P.D. Eastman
0671493183,Doggies (Boynton on Board),Sandra Boynton
0062304240,Pete the Cat's Super Cool Reading Collection (My First I Can Read),James Dean
142319957X,Waiting Is Not Easy! (An Elephant and Piggie Book),Mo Willems
0394800133,One Fish Two Fish Red Fish Blue Fish (I Can Read It All by Myself),Dr. Seuss
0312510799,First 100 Animals,Roger Priddy
0553523910,The Pups Save Christmas! (Paw Patrol) (Big Golden Book),Golden Books
044845694X,The Story of Ferdinand,Munro Leaf
067144901X,Moo Baa La La La,Sandra Boynton
0061906220,Pete the Cat: I Love My White Shoes,Eric Litwin
067001396X,Llama Llama Gram and Grandpa,Anna Dewdney
0307157857,Richard Scarry's Cars and Trucks and Things That Go,Richard Scarry
0679800913,The Berenstain Bears Trick or Treat (First Time Books),Stan Berenstain
0545153530,How Do Dinosaurs Say Happy Birthday?,Jane Yolen
0062304275,Pete the Cat: Robo-Pete,James Dean
0062304305,Pete the Cat and the Bedtime Blues,James Dean
0316070025,"I Love You, Little Pumpkin! (Padded Cloth Covers with Lift-the-Flaps)",Sandra Magsamen
039480001X,The Cat in the Hat,Dr. Seuss
0307021343,The Poky Little Puppy (A Little Golden Book Classic),Janette Sebring Lowrey
1484722620,I Really Like Slop! (An Elephant and Piggie Book),Mo Willems
0670015792,Little Owl's Night,Divya Srinivasan
0545855721,"Wings of Fire Boxset, Books 1-5 (Wings of Fire)",Tui T. Sutherland
0062198696,Pete the Cat: The First Thanksgiving,James Dean
0140501738,Corduroy,Don Freeman
0679809015,Open the Barn Door (A Chunky Book(R)),
054584231X,Bedtime for Peppa (Peppa Pig),Scholastic
078681988X,Don't Let the Pigeon Drive the Bus!,Mo Willems
0545685370,Wings of Fire Book Seven: Winter Turning,Tui T. Sutherland
0399230033,"Good Night, Gorilla",Peggy Rathmann
0736430806,The Good Dinosaur Little Golden Book (Disney/Pixar The Good Dinosaur),Bill Scollon
068982663X,"Boynton's Greatest Hits: Volume II (The Going to Bed Book, Horns to Toes, Opposites, But Not the Hippopotamus)",Sandra Boynton
1492616516,Max the Brave,Ed Vere
1484722841,The Story of Diva and Flea,Mo Willems
0312511078,My Big Animal Book (My Big Board Books),Roger Priddy
0823413209,Too Many Pumpkins,Linda White
1423179587,My New Friend Is So Fun! (An Elephant and Piggie Book),Mo Willems
1512183687,The Night the World Turned Royal Blue (The Road to the World),Jason Sivewright
0756689899,Touch and Feel: Farm (Touch & Feel),DK Publishing
0062110586,Pete the Cat and His Four Groovy Buttons,Eric Litwin
0590417010,Dog Heaven,Cynthia Rylant
0307155102,Richard Scarry's Best Word Book Ever (Giant Golden Book),Richard Scarry
0440412676,Where the Red Fern Grows,Wilson Rawls
0394826817,Richard Scarry's Please and Thank You Book (Pictureback(R)),Richard Scarry
0312513062,My Big Dinosaur Book,Roger Priddy
1423190874,The Pigeon Needs a Bath!,Mo Willems
0375849912,"Magic Tree House Boxed Set, Books 1-28",Mary Pope Osborne
1933718005,The Kissing Hand,Audrey Penn
0763657093,Mercy Watson Boxed Set: Adventures of a Porcine Wonder,Kate DiCamillo
0670059838,Llama Llama Red Pajama,Anna Dewdney
0545834910,Peppa Pig: Peppa Goes Swimming,Scholastic
0763644323,Because of Winn-Dixie,Kate DiCamillo
0694016381,A Baby's Gift,Margaret Wise Brown
0394800206,"Go, Dog Go (I Can Read It All By Myself, Beginner Books)",P.D. Eastman
0399240462,Where's Spot?,Eric Hill
0547391005,The Complete Adventures of Curious George: 70th Anniversary Edition,H. A. Rey
0064441865,Zack's Alligator (An I Can Read Book),Shirley Mozelle
0547516185,"Lyle, Lyle, Crocodile Storybook Treasury (Lyle the Crocodile)",Bernard Waber
0803703740,There's an Alligator under My Bed,Mercer Mayer
0307930084,I'd Really Like to Eat a Child,Sylviane Donnio
1442435828,Warning: Do Not Open This Book!,Adam Lehrhaupt
1423171012,The Watermelon Seed,Greg Pizzoli
054511506X,Scholastic Reader Level 1: Please Write Back!,Jennifer Morris
0544083539,Five Little Monkeys Sitting in a Tree (A Five Little Monkeys Story),Eileen Christelow
0142414530,The Enormous Crocodile,Roald Dahl
0395137209,"Lyle, Lyle, Crocodile (Lyle the Crocodile)",Bernard Waber
0763661635,Open Very Carefully: A Book with Bite,Nick Bromley
1442430540,The Sandman and the War of Dreams (The Guardians),William Joyce
0679893857,An Extraordinary Egg,Leo Lionni
0152163565,Counting Crocodiles,Judy Sierra
1846860733,Alligator Alphabet,Stella Blackstone
006200400X,Hooray for Amanda & Her Alligator!,Mo Willems
0140365443,"Fox at School (Penguin Young Readers, Level 3)",Edward Marshall
0152058508,"What Time Is It, Mr. Crocodile?",Judy Sierra
1936140136,Waking Up Is Hard to Do (Book & CD),Neil Sedaka
0395181577,The House on East 88th Street,Bernard Waber
0989341453,Secret of the Staircase (The Virginia Mysteries) (Volume 4),Steven K. Smith
080757824X,The Three Little Gators,Helen Ketteman
006440434X,The Missing 'Gator of Gumbo Limbo,Jean Craighead George
1442430486,Nicholas St. North and the Battle of the Nightmare King (The Guardians),William Joyce
0545506719,Killer Species #1: Menace From the Deep,Michael P. Spradlin
0747541930,The Selfish Crocodile,Faustin Charles
0064442489,Zack's Alligator Goes to School,Shirley Mozelle
0140365419,"Fox on Wheels (Penguin Young Readers, Level 3)",Edward Marshall
0140368434,"Fox in Love (Penguin Young Readers, Level 3)",Edward Marshall
